district,month,prec,tmax,tmin
Chitral,1,29.26204065,-0.183004588,-11.38068256
Chitral,2,52.82464283,1.744247874,-9.901627135
Chitral,3,72.328699,7.777535783,-3.654895177
Chitral,4,64.42924714,13.52567451,2.506085523
Chitral,5,30.32405722,18.06299765,5.825603704
Chitral,6,12.33103215,22.82105116,8.637915454
Chitral,7,13.85911164,26.08961979,10.03997621
Chitral,8,12.18536002,25.8465327,9.549322414
Chitral,9,5.186678821,21.49534124,6.577709096
Chitral,10,11.05486124,15.90108119,4.5624592
Chitral,11,13.68778496,9.712319824,-0.679627344
Chitral,12,26.32249706,3.002656141,-7.556729009
Dadu,1,2.043858609,23.24187821,7.942587717
Dadu,2,5.576764554,26.6254138,10.04973912
Dadu,3,3.666145344,32.02725498,14.83772375
Dadu,4,6.798332151,38.11054234,20.64895279
Dadu,5,4.115488751,43.10420035,25.41843822
Dadu,6,5.813718415,43.23982149,26.91672522
Dadu,7,37.44354977,40.37277671,26.57062206
Dadu,8,20.6352031,38.6709271,24.7638427
Dadu,9,6.017799772,37.95968209,22.29212312
Dadu,10,0.28946354,36.20746395,19.77020017
Dadu,11,0.078435081,30.76300353,15.0875375
Dadu,12,1.508425875,25.03469482,9.823798111
D.I. Khan,1,12.60324998,18.64690201,4.224023994
D.I. Khan,2,19.54622152,20.69254359,5.405251254
D.I. Khan,3,30.55308526,26.16607408,9.92985603
D.I. Khan,4,23.88377908,33.43743242,16.62450366
D.I. Khan,5,9.118181203,39.3323102,22.35942603
D.I. Khan,6,16.50975018,41.85312433,26.60569058
D.I. Khan,7,61.26057063,39.81641864,27.26925038
D.I. Khan,8,68.93662566,37.86497063,25.3701988
D.I. Khan,9,21.27287034,36.77093078,22.28317924
D.I. Khan,10,1.755621303,33.06204074,17.12790206
D.I. Khan,11,1.774350173,26.94558964,11.4477305
D.I. Khan,12,6.793441533,20.96683658,6.37156921
Ghotki,1,1.642890956,23.20343175,7.165073334
Ghotki,2,3.192680333,26.71582399,9.531232013
Ghotki,3,3.733893934,32.61908087,14.86884055
Ghotki,4,2.050105649,39.19830884,21.26303065
Ghotki,5,1.107010347,44.08317811,26.5155222
Ghotki,6,4.373675335,43.62390002,28.46331918
Ghotki,7,24.08249629,40.4686441,27.88925459
Ghotki,8,29.33182163,38.71151571,25.94876472
Ghotki,9,6.348022982,38.4603989,23.62858726
Ghotki,10,0.1806273,36.95407231,19.86968531
Ghotki,11,0.115228727,31.33192852,14.66497211
Ghotki,12,1.222975083,25.16122857,9.106002096
Jhang,1,7.53308979,19.92678443,4.848713286
Jhang,2,15.99133266,22.69318326,6.495102608
Jhang,3,19.8651437,27.95408121,10.78813115
Jhang,4,12.06201745,34.94601519,17.37455382
Jhang,5,9.018688609,40.36495191,23.1255994
Jhang,6,26.52673102,42.05516627,27.47024599
Jhang,7,65.44841394,38.92888758,27.26150785
Jhang,8,54.67254006,37.20339739,25.23455472
Jhang,9,21.35763969,36.97960399,22.83148607
Jhang,10,1.350894007,34.20713083,17.88113522
Jhang,11,0.81494452,28.64207366,12.58726569
Jhang,12,4.892102106,22.49588462,7.366657042
Kashmore,1,5.572916444,22.92947737,7.361208278
Kashmore,2,5.630410112,26.42669536,9.693421083
Kashmore,3,7.110799793,32.38015205,14.87016443
Kashmore,4,4.622211981,39.18457854,21.3992222
Kashmore,5,1.717187218,44.4745335,26.84049364
Kashmore,6,3.343317335,44.28019069,28.85624971
Kashmore,7,17.1574523,41.32458518,28.48094894
Kashmore,8,16.14893649,39.59384643,26.44806776
Kashmore,9,3.24346977,39.00098177,23.72948641
Kashmore,10,0.121737347,36.98896912,19.9258938
Kashmore,11,0.059978531,31.21292392,14.91274281
Kashmore,12,1.964033221,24.86775186,9.288172762
Kurram,1,45.15687964,7.357401355,-4.975750286
Kurram,2,68.6633222,8.669040059,-4.49282998
Kurram,3,86.46169796,13.85545634,-0.963418426
Kurram,4,82.66149936,20.68086756,4.54248748
Kurram,5,39.05936524,25.86545275,8.381014764
Kurram,6,26.51182428,30.53305465,12.68974884
Kurram,7,55.17612253,30.96336514,13.7882858
Kurram,8,69.32345393,29.58170732,12.7469816
Kurram,9,25.09524147,26.04948418,8.676146759
Kurram,10,8.656656346,21.79810988,5.001719698
Kurram,11,11.99814292,15.61694995,0.388458766
Kurram,12,26.15075551,10.11419139,-2.96671262
Tharparkar,1,0.195780813,26.20050645,9.545710031
Tharparkar,2,0.899167261,29.15096833,11.73186105
Tharparkar,3,0.265082041,34.27425236,16.3909563
Tharparkar,4,0.457259332,39.05561935,20.96076552
Tharparkar,5,1.699922435,41.58201507,24.41851989
Tharparkar,6,10.74102589,40.19311435,26.34066892
Tharparkar,7,102.6494941,36.51977548,25.28804267
Tharparkar,8,76.97639072,34.86352775,23.3228423
Tharparkar,9,39.07868374,35.92907134,22.46548043
Tharparkar,10,2.351783888,36.834821,20.65864314
Tharparkar,11,0.241992006,32.84902208,16.34396643
Tharparkar,12,0.213839632,28.10281316,11.48029138
Muzaffargarh,1,6.322408522,20.92609654,6.17802708
Muzaffargarh,2,8.188725703,23.85626741,8.154143632
Muzaffargarh,3,13.45897909,29.83938435,13.1714138
Muzaffargarh,4,13.75563679,36.97193124,20.0269545
Muzaffargarh,5,7.970651814,42.45651272,25.82682565
Muzaffargarh,6,12.79609848,43.47348598,29.15107061
Muzaffargarh,7,36.5300118,40.67221992,28.80409956
Muzaffargarh,8,29.62437835,38.67490938,26.39467474
Muzaffargarh,9,11.83415298,38.22299741,23.7598613
Muzaffargarh,10,0.469718999,35.55963933,19.34043776
Muzaffargarh,11,0.19544292,29.69391364,14.04243983
Muzaffargarh,12,2.760921327,23.21662554,8.532259387
North Waziristan,1,31.30233842,9.468444371,-3.730236239
North Waziristan,2,44.49705575,10.68593278,-3.408379367
North Waziristan,3,48.55203397,16.11571045,0.461341603
North Waziristan,4,44.15857644,23.14714052,6.42087842
North Waziristan,5,19.78405109,28.63339757,10.78586879
North Waziristan,6,13.243067,32.91820515,15.2801498
North Waziristan,7,61.65583364,32.85677563,16.30926279
North Waziristan,8,49.77118635,31.46386414,15.13628648
North Waziristan,9,8.570490719,28.52545868,11.13944374
North Waziristan,10,3.316201622,24.00706084,6.692285956
North Waziristan,11,4.728909661,17.87139273,1.866853849
North Waziristan,12,14.23018831,12.30753917,-1.733230081
Orakzai,1,55.07008278,10.52373912,-2.025688529
Orakzai,2,67.6341544,11.85307846,-1.366766654
Orakzai,3,75.53109069,16.30328773,1.893191183
Orakzai,4,85.36208099,22.31439788,6.648015082
Orakzai,5,38.69304084,27.55393381,10.54440935
Orakzai,6,43.58905288,31.69330592,14.71242288
Orakzai,7,67.17198874,31.50747897,16.1514491
Orakzai,8,98.92828733,30.32824158,15.47561931
Orakzai,9,50.9877167,26.99868077,11.09987853
Orakzai,10,18.22475172,22.70444578,6.773536217
Orakzai,11,8.243518538,17.31235354,2.540027961
Orakzai,12,18.78792546,12.71171233,-0.535163939
Rajanpur,1,6.97950285,21.6110602,6.804221717
Rajanpur,2,7.401855768,24.85206156,9.227297827
Rajanpur,3,10.82890853,30.77937673,14.37702274
Rajanpur,4,9.677414446,37.68660193,20.98028041
Rajanpur,5,6.156836963,43.0605966,26.40188721
Rajanpur,6,12.66208583,43.33907251,28.78411526
Rajanpur,7,36.34839839,40.55263626,28.35863783
Rajanpur,8,28.39368367,38.75668278,26.18244382
Rajanpur,9,10.89583221,38.20464609,23.67402114
Rajanpur,10,0.709895659,35.85847078,19.58232268
Rajanpur,11,0.148323272,30.14051174,14.46943514
Rajanpur,12,2.925664378,23.74757758,8.81509568
South Waziristan,1,23.25891448,10.76542626,-3.478655124
South Waziristan,2,36.01878206,12.02926701,-3.133541405
South Waziristan,3,38.18938798,17.50045887,1.039162744
South Waziristan,4,32.50180646,24.37062375,7.107995455
South Waziristan,5,14.30444982,30.02375931,11.83979754
South Waziristan,6,14.0814776,33.88258751,16.44379964
South Waziristan,7,58.58398921,33.60106921,17.87960781
South Waziristan,8,35.34815644,32.28875957,16.64023081
South Waziristan,9,8.485806396,29.62162974,12.45265168
South Waziristan,10,1.578152318,24.92770037,7.300692657
South Waziristan,11,3.752040886,18.98936333,2.376066701
South Waziristan,12,11.36156143,13.57503428,-1.510841836
