district,season,time,year,vars,value,CI_lower,CI_upper
Chitral,Kafir,past,2004,IRR,1233.053401,,
Chitral,Kafir,past,2005,IRR,1180.512051,,
Chitral,Kafir,past,2006,IRR,1283.455723,,
Chitral,Kafir,past,2007,IRR,1337.360081,,
Chitral,Kafir,past,2008,IRR,1304.166769,,
Chitral,Kafir,past,2009,IRR,1213.612951,,
Chitral,Kafir,past,2010,IRR,1002.946964,,
Chitral,Kafir,past,2011,IRR,1364.587249,,
Chitral,Kafir,past,2012,IRR,1205.700154,,
Chitral,Kafir,past,2013,IRR,1224.57161,,
Chitral,Kafir,past,2014,IRR,1192.089345,,
Chitral,Kafir,past,2015,IRR,927.4591636,,
Chitral,Kafir,future,2021,IRR,1166.557844,1157.268277,1175.847411
Chitral,Kafir,future,2022,IRR,1102.928205,1093.130149,1112.72626
Chitral,Kafir,future,2023,IRR,1253.362481,1244.477976,1262.246986
Chitral,Kafir,future,2024,IRR,1195.796557,1187.421848,1204.171266
Chitral,Kafir,future,2025,IRR,1156.735819,1148.961305,1164.510332
Chitral,Kafir,future,2026,IRR,1237.930434,1228.316662,1247.544206
Chitral,Kafir,future,2027,IRR,1160.603397,1152.597652,1168.609141
Chitral,Kafir,future,2028,IRR,1153.816405,1142.446192,1165.186619
Chitral,Kafir,future,2029,IRR,1254.00219,1247.108618,1260.895762
Chitral,Kafir,future,2030,IRR,1244.300957,1235.543837,1253.058077
Chitral,Kafir,future,2031,IRR,1194.829543,1188.000915,1201.658171
Chitral,Kafir,future,2032,IRR,1113.734473,1103.920702,1123.548244
Chitral,Kafir,future,2033,IRR,1243.893173,1236.422991,1251.363354
Chitral,Kafir,future,2034,IRR,1253.923067,1246.431788,1261.414345
Chitral,Kafir,future,2035,IRR,1152.221174,1142.160424,1162.281923
Chitral,Kafir,future,2036,IRR,1152.044687,1142.739952,1161.349422
Chitral,Kafir,future,2037,IRR,1028.826538,1014.706896,1042.946179
Chitral,Kafir,future,2038,IRR,1271.202196,1263.760517,1278.643874
Chitral,Kafir,future,2039,IRR,1315.092091,1303.897931,1326.286251
Chitral,Kafir,future,2040,IRR,1340.772912,1334.469829,1347.075995
Chitral,Kafir,future,2041,IRR,1271.614454,1267.093688,1276.13522
Chitral,Kafir,future,2042,IRR,1235.111578,1230.45454,1239.768615
Chitral,Kafir,future,2043,IRR,1233.063075,1226.031774,1240.094377
Chitral,Kafir,future,2044,IRR,1255.231508,1250.226457,1260.236558
Chitral,Kafir,future,2045,IRR,1223.284563,1218.57183,1227.997297
Chitral,Kafir,future,2046,IRR,1267.143285,1259.372095,1274.914474
Chitral,Kafir,future,2047,IRR,1305.923507,1299.464617,1312.382397
Chitral,Kafir,future,2048,IRR,1326.140239,1319.808784,1332.471693
Chitral,Kafir,future,2049,IRR,1288.153761,1280.816228,1295.491294
Chitral,Kafir,future,2050,IRR,1203.502718,1195.552267,1211.453169
Chitral,Kafir,future,2051,IRR,1267.361449,1260.597689,1274.125209
Chitral,Kafir,future,2052,IRR,1312.819828,1304.151267,1321.48839
Chitral,Kafir,future,2053,IRR,1358.132282,1350.003849,1366.260715
Chitral,Kafir,future,2054,IRR,1287.615559,1280.687611,1294.543506
Chitral,Kafir,future,2055,IRR,1287.631614,1278.599277,1296.66395
Chitral,Kafir,future,2056,IRR,1255.607557,1247.562554,1263.652559
Chitral,Kafir,future,2057,IRR,1302.122123,1294.045847,1310.198399
Chitral,Kafir,future,2058,IRR,1366.700671,1359.131947,1374.269396
Chitral,Kafir,future,2059,IRR,1294.690838,1288.120096,1301.26158
Chitral,Kafir,future,2060,IRR,1274.886889,1266.965205,1282.808573
Chitral,Kafir,future,2061,IRR,1174.137457,1164.271829,1184.003084
Chitral,Kafir,future,2062,IRR,1333.457743,1327.413782,1339.501705
Chitral,Kafir,future,2063,IRR,1371.612899,1364.909324,1378.316473
Chitral,Kafir,future,2064,IRR,1229.851354,1218.536834,1241.165875
Chitral,Kafir,future,2065,IRR,1420.811212,1413.4596,1428.162824
Chitral,Kafir,past,1985,ndws,158,,
Chitral,Kafir,past,1986,ndws,155,,
Chitral,Kafir,past,1987,ndws,155,,
Chitral,Kafir,past,1988,ndws,162,,
Chitral,Kafir,past,1989,ndws,155,,
Chitral,Kafir,past,1990,ndws,160,,
Chitral,Kafir,past,1991,ndws,156,,
Chitral,Kafir,past,1992,ndws,149,,
Chitral,Kafir,past,1993,ndws,155,,
Chitral,Kafir,past,1994,ndws,155,,
Chitral,Kafir,past,1995,ndws,158,,
Chitral,Kafir,past,1996,ndws,158,,
Chitral,Kafir,past,1997,ndws,160,,
Chitral,Kafir,past,1998,ndws,152,,
Chitral,Kafir,past,1999,ndws,158,,
Chitral,Kafir,past,2000,ndws,159,,
Chitral,Kafir,past,2001,ndws,158,,
Chitral,Kafir,past,2002,ndws,160,,
Chitral,Kafir,past,2003,ndws,154,,
Chitral,Kafir,past,2004,ndws,152,,
Chitral,Kafir,past,2005,ndws,150,,
Chitral,Kafir,past,2006,ndws,157,,
Chitral,Kafir,past,2007,ndws,160,,
Chitral,Kafir,past,2008,ndws,157,,
Chitral,Kafir,past,2009,ndws,151,,
Chitral,Kafir,past,2010,ndws,143,,
Chitral,Kafir,past,2011,ndws,158,,
Chitral,Kafir,past,2012,ndws,157,,
Chitral,Kafir,past,2013,ndws,156,,
Chitral,Kafir,past,2014,ndws,158,,
Chitral,Kafir,past,2015,ndws,145,,
Chitral,Kafir,future,2021,ndws,154,150,158
Chitral,Kafir,future,2022,ndws,146,142,150
Chitral,Kafir,future,2023,ndws,155,151,159
Chitral,Kafir,future,2024,ndws,155,150,159
Chitral,Kafir,future,2025,ndws,153,149,157
Chitral,Kafir,future,2026,ndws,150,146,154
Chitral,Kafir,future,2027,ndws,150,146,154
Chitral,Kafir,future,2028,ndws,143,139,147
Chitral,Kafir,future,2029,ndws,155,151,159
Chitral,Kafir,future,2030,ndws,155,151,159
Chitral,Kafir,future,2031,ndws,149,145,153
Chitral,Kafir,future,2032,ndws,143,139,146
Chitral,Kafir,future,2033,ndws,155,151,159
Chitral,Kafir,future,2034,ndws,150,146,154
Chitral,Kafir,future,2035,ndws,151,147,155
Chitral,Kafir,future,2036,ndws,150,146,154
Chitral,Kafir,future,2037,ndws,141,137,145
Chitral,Kafir,future,2038,ndws,159,155,163
Chitral,Kafir,future,2039,ndws,156,151,160
Chitral,Kafir,future,2040,ndws,161,157,165
Chitral,Kafir,future,2041,ndws,157,154,160
Chitral,Kafir,future,2042,ndws,150,147,153
Chitral,Kafir,future,2043,ndws,152,149,155
Chitral,Kafir,future,2044,ndws,152,149,155
Chitral,Kafir,future,2045,ndws,154,151,157
Chitral,Kafir,future,2046,ndws,150,146,154
Chitral,Kafir,future,2047,ndws,158,153,162
Chitral,Kafir,future,2048,ndws,156,152,160
Chitral,Kafir,future,2049,ndws,153,149,157
Chitral,Kafir,future,2050,ndws,151,147,155
Chitral,Kafir,future,2051,ndws,159,155,163
Chitral,Kafir,future,2052,ndws,157,153,161
Chitral,Kafir,future,2053,ndws,154,149,158
Chitral,Kafir,future,2054,ndws,158,153,162
Chitral,Kafir,future,2055,ndws,158,153,162
Chitral,Kafir,future,2056,ndws,151,147,155
Chitral,Kafir,future,2057,ndws,156,152,161
Chitral,Kafir,future,2058,ndws,160,156,164
Chitral,Kafir,future,2059,ndws,159,155,163
Chitral,Kafir,future,2060,ndws,159,154,163
Chitral,Kafir,future,2061,ndws,147,143,151
Chitral,Kafir,future,2062,ndws,159,155,163
Chitral,Kafir,future,2063,ndws,158,153,162
Chitral,Kafir,future,2064,ndws,147,143,151
Chitral,Kafir,future,2065,ndws,162,157,166
Chitral,Kafir,past,1985,NT35,0,,
Chitral,Kafir,past,1986,NT35,0,,
Chitral,Kafir,past,1987,NT35,0,,
Chitral,Kafir,past,1988,NT35,0,,
Chitral,Kafir,past,1989,NT35,0,,
Chitral,Kafir,past,1990,NT35,1,,
Chitral,Kafir,past,1991,NT35,1,,
Chitral,Kafir,past,1992,NT35,0,,
Chitral,Kafir,past,1993,NT35,0,,
Chitral,Kafir,past,1994,NT35,0,,
Chitral,Kafir,past,1995,NT35,0,,
Chitral,Kafir,past,1996,NT35,1,,
Chitral,Kafir,past,1997,NT35,1,,
Chitral,Kafir,past,1998,NT35,0,,
Chitral,Kafir,past,1999,NT35,1,,
Chitral,Kafir,past,2000,NT35,0,,
Chitral,Kafir,past,2001,NT35,0,,
Chitral,Kafir,past,2002,NT35,0,,
Chitral,Kafir,past,2003,NT35,1,,
Chitral,Kafir,past,2004,NT35,1,,
Chitral,Kafir,past,2005,NT35,1,,
Chitral,Kafir,past,2006,NT35,1,,
Chitral,Kafir,past,2007,NT35,0,,
Chitral,Kafir,past,2008,NT35,0,,
Chitral,Kafir,past,2009,NT35,1,,
Chitral,Kafir,past,2010,NT35,0,,
Chitral,Kafir,past,2011,NT35,1,,
Chitral,Kafir,past,2012,NT35,1,,
Chitral,Kafir,past,2013,NT35,1,,
Chitral,Kafir,past,2014,NT35,1,,
Chitral,Kafir,past,2015,NT35,0,,
Chitral,Kafir,future,2021,NT35,1,1,1
Chitral,Kafir,future,2022,NT35,0,0,0
Chitral,Kafir,future,2023,NT35,1,1,2
Chitral,Kafir,future,2024,NT35,2,2,2
Chitral,Kafir,future,2025,NT35,1,1,1
Chitral,Kafir,future,2026,NT35,2,2,2
Chitral,Kafir,future,2027,NT35,1,1,1
Chitral,Kafir,future,2028,NT35,1,1,2
Chitral,Kafir,future,2029,NT35,2,2,2
Chitral,Kafir,future,2030,NT35,2,1,2
Chitral,Kafir,future,2031,NT35,1,1,2
Chitral,Kafir,future,2032,NT35,2,1,2
Chitral,Kafir,future,2033,NT35,1,1,2
Chitral,Kafir,future,2034,NT35,2,2,2
Chitral,Kafir,future,2035,NT35,1,1,2
Chitral,Kafir,future,2036,NT35,1,1,1
Chitral,Kafir,future,2037,NT35,1,1,1
Chitral,Kafir,future,2038,NT35,2,2,2
Chitral,Kafir,future,2039,NT35,3,3,4
Chitral,Kafir,future,2040,NT35,3,3,3
Chitral,Kafir,future,2041,NT35,3,2,3
Chitral,Kafir,future,2042,NT35,2,2,3
Chitral,Kafir,future,2043,NT35,2,2,3
Chitral,Kafir,future,2044,NT35,2,2,2
Chitral,Kafir,future,2045,NT35,2,2,3
Chitral,Kafir,future,2046,NT35,3,3,4
Chitral,Kafir,future,2047,NT35,3,2,3
Chitral,Kafir,future,2048,NT35,3,3,3
Chitral,Kafir,future,2049,NT35,4,4,5
Chitral,Kafir,future,2050,NT35,3,3,4
Chitral,Kafir,future,2051,NT35,3,2,3
Chitral,Kafir,future,2052,NT35,4,3,4
Chitral,Kafir,future,2053,NT35,6,6,7
Chitral,Kafir,future,2054,NT35,4,4,5
Chitral,Kafir,future,2055,NT35,4,4,5
Chitral,Kafir,future,2056,NT35,4,3,4
Chitral,Kafir,future,2057,NT35,5,4,5
Chitral,Kafir,future,2058,NT35,6,5,6
Chitral,Kafir,future,2059,NT35,3,3,4
Chitral,Kafir,future,2060,NT35,4,4,5
Chitral,Kafir,future,2061,NT35,4,3,4
Chitral,Kafir,future,2062,NT35,5,4,6
Chitral,Kafir,future,2063,NT35,7,6,8
Chitral,Kafir,future,2064,NT35,5,4,6
Chitral,Kafir,future,2065,NT35,6,6,7
Chitral,Kafir,past,1985,P5D,6.592845208,,
Chitral,Kafir,past,1986,P5D,12.78636964,,
Chitral,Kafir,past,1987,P5D,7.061013411,,
Chitral,Kafir,past,1988,P5D,3.699550556,,
Chitral,Kafir,past,1989,P5D,7.58380321,,
Chitral,Kafir,past,1990,P5D,6.462663056,,
Chitral,Kafir,past,1991,P5D,7.240803699,,
Chitral,Kafir,past,1992,P5D,7.092636801,,
Chitral,Kafir,past,1993,P5D,8.946613582,,
Chitral,Kafir,past,1994,P5D,5.076032342,,
Chitral,Kafir,past,1995,P5D,4.406869829,,
Chitral,Kafir,past,1996,P5D,8.426475486,,
Chitral,Kafir,past,1997,P5D,5.10166751,,
Chitral,Kafir,past,1998,P5D,6.624059915,,
Chitral,Kafir,past,1999,P5D,6.613331409,,
Chitral,Kafir,past,2000,P5D,6.855227562,,
Chitral,Kafir,past,2001,P5D,7.386105379,,
Chitral,Kafir,past,2002,P5D,5.364639895,,
Chitral,Kafir,past,2003,P5D,4.967869292,,
Chitral,Kafir,past,2004,P5D,5.537116855,,
Chitral,Kafir,past,2005,P5D,8.039339276,,
Chitral,Kafir,past,2006,P5D,4.924859034,,
Chitral,Kafir,past,2007,P5D,8.21079414,,
Chitral,Kafir,past,2008,P5D,5.962080653,,
Chitral,Kafir,past,2009,P5D,7.386183345,,
Chitral,Kafir,past,2010,P5D,16.11629144,,
Chitral,Kafir,past,2011,P5D,4.441037636,,
Chitral,Kafir,past,2012,P5D,5.349022548,,
Chitral,Kafir,past,2013,P5D,7.541065932,,
Chitral,Kafir,past,2014,P5D,3.891996239,,
Chitral,Kafir,past,2015,P5D,14.91940342,,
Chitral,Kafir,future,2021,P5D,9.990436679,9.605153472,10.37571989
Chitral,Kafir,future,2022,P5D,7.763526918,7.531764108,7.995289727
Chitral,Kafir,future,2023,P5D,9.069039094,8.684791595,9.453286593
Chitral,Kafir,future,2024,P5D,9.685337097,9.238602585,10.13207161
Chitral,Kafir,future,2025,P5D,8.028569551,7.603178526,8.453960575
Chitral,Kafir,future,2026,P5D,8.347885415,7.940964513,8.754806317
Chitral,Kafir,future,2027,P5D,12.2024875,11.87566118,12.52931382
Chitral,Kafir,future,2028,P5D,8.985235714,8.599458411,9.371013017
Chitral,Kafir,future,2029,P5D,6.945959862,6.729838261,7.162081464
Chitral,Kafir,future,2030,P5D,9.157097221,8.734194185,9.580000257
Chitral,Kafir,future,2031,P5D,8.325402271,8.068307953,8.58249659
Chitral,Kafir,future,2032,P5D,13.87354754,13.25038664,14.49670845
Chitral,Kafir,future,2033,P5D,5.913116753,5.788873139,6.037360367
Chitral,Kafir,future,2034,P5D,7.391972597,7.188014429,7.595930766
Chitral,Kafir,future,2035,P5D,11.34390217,10.68190642,12.00589791
Chitral,Kafir,future,2036,P5D,8.569858543,8.267515825,8.87220126
Chitral,Kafir,future,2037,P5D,18.32866433,17.32345612,19.33387255
Chitral,Kafir,future,2038,P5D,7.739242644,7.447191041,8.031294247
Chitral,Kafir,future,2039,P5D,6.6394814,6.384726283,6.894236517
Chitral,Kafir,future,2040,P5D,5.54972997,5.352885897,5.746574043
Chitral,Kafir,future,2041,P5D,4.946703843,4.862374084,5.031033602
Chitral,Kafir,future,2042,P5D,9.825666962,9.632629429,10.01870449
Chitral,Kafir,future,2043,P5D,9.491316134,9.231274541,9.751357728
Chitral,Kafir,future,2044,P5D,6.007624918,5.882788878,6.132460958
Chitral,Kafir,future,2045,P5D,9.786284447,9.543877317,10.02869158
Chitral,Kafir,future,2046,P5D,11.44722116,10.89577638,11.99866594
Chitral,Kafir,future,2047,P5D,4.428423425,4.297443075,4.559403774
Chitral,Kafir,future,2048,P5D,7.236631828,6.947978139,7.525285517
Chitral,Kafir,future,2049,P5D,6.263659329,6.057243117,6.470075541
Chitral,Kafir,future,2050,P5D,5.890882874,5.746532797,6.035232952
Chitral,Kafir,future,2051,P5D,7.328258429,7.129500229,7.527016628
Chitral,Kafir,future,2052,P5D,6.969362457,6.706247888,7.232477026
Chitral,Kafir,future,2053,P5D,6.51794527,6.320876248,6.715014293
Chitral,Kafir,future,2054,P5D,4.455868508,4.327177128,4.584559887
Chitral,Kafir,future,2055,P5D,14.94158322,14.34317753,15.53998892
Chitral,Kafir,future,2056,P5D,10.26208336,9.96548653,10.55868019
Chitral,Kafir,future,2057,P5D,6.932224431,6.687074915,7.177373947
Chitral,Kafir,future,2058,P5D,6.026423933,5.67519054,6.377657326
Chitral,Kafir,future,2059,P5D,5.513194186,5.353787565,5.672600806
Chitral,Kafir,future,2060,P5D,4.923551965,4.797688401,5.049415528
Chitral,Kafir,future,2061,P5D,6.778911298,6.534486532,7.023336065
Chitral,Kafir,future,2062,P5D,5.210237349,5.095352572,5.325122126
Chitral,Kafir,future,2063,P5D,8.738050429,8.420496,9.055604857
Chitral,Kafir,future,2064,P5D,11.27962398,10.6878894,11.87135856
Chitral,Kafir,future,2065,P5D,4.789948599,4.668958368,4.91093883
Chitral,Kafir,past,1985,P95,0,,
Chitral,Kafir,past,1986,P95,0.045510118,,
Chitral,Kafir,past,1987,P95,0.256587106,,
Chitral,Kafir,past,1988,P95,0.002956525,,
Chitral,Kafir,past,1989,P95,0,,
Chitral,Kafir,past,1990,P95,0,,
Chitral,Kafir,past,1991,P95,0,,
Chitral,Kafir,past,1992,P95,0,,
Chitral,Kafir,past,1993,P95,0.259532137,,
Chitral,Kafir,past,1994,P95,0,,
Chitral,Kafir,past,1995,P95,0,,
Chitral,Kafir,past,1996,P95,0,,
Chitral,Kafir,past,1997,P95,0,,
Chitral,Kafir,past,1998,P95,0,,
Chitral,Kafir,past,1999,P95,1.43227466,,
Chitral,Kafir,past,2000,P95,1.241052076,,
Chitral,Kafir,past,2001,P95,0.893714561,,
Chitral,Kafir,past,2002,P95,0.118664346,,
Chitral,Kafir,past,2003,P95,2.982706602,,
Chitral,Kafir,past,2004,P95,2.647861228,,
Chitral,Kafir,past,2005,P95,4.62352392,,
Chitral,Kafir,past,2006,P95,2.098683988,,
Chitral,Kafir,past,2007,P95,2.241840501,,
Chitral,Kafir,past,2008,P95,2.585685917,,
Chitral,Kafir,past,2009,P95,3.965435359,,
Chitral,Kafir,past,2010,P95,4.961881667,,
Chitral,Kafir,past,2011,P95,2.287145403,,
Chitral,Kafir,past,2012,P95,3.37619261,,
Chitral,Kafir,past,2013,P95,2.690971041,,
Chitral,Kafir,past,2014,P95,2.156318395,,
Chitral,Kafir,past,2015,P95,5.927160648,,
Chitral,Kafir,future,2021,P95,4.061890494,3.94250735,4.181273639
Chitral,Kafir,future,2022,P95,5.68135238,5.513209607,5.849495154
Chitral,Kafir,future,2023,P95,2.422530239,2.315163548,2.529896929
Chitral,Kafir,future,2024,P95,3.904848441,3.810728785,3.998968098
Chitral,Kafir,future,2025,P95,4.286319214,4.132355475,4.440282952
Chitral,Kafir,future,2026,P95,3.252220672,3.067716558,3.436724785
Chitral,Kafir,future,2027,P95,3.467062477,3.338803999,3.595320956
Chitral,Kafir,future,2028,P95,5.068704362,4.882187886,5.255220837
Chitral,Kafir,future,2029,P95,2.977218438,2.871607275,3.082829601
Chitral,Kafir,future,2030,P95,3.274523881,3.100760768,3.448286994
Chitral,Kafir,future,2031,P95,3.738652957,3.648274329,3.829031585
Chitral,Kafir,future,2032,P95,5.483468319,5.339622699,5.627313939
Chitral,Kafir,future,2033,P95,3.829877674,3.715529845,3.944225502
Chitral,Kafir,future,2034,P95,2.997286166,2.918135311,3.07643702
Chitral,Kafir,future,2035,P95,4.342251273,4.225707152,4.458795394
Chitral,Kafir,future,2036,P95,4.393599033,4.232913985,4.554284081
Chitral,Kafir,future,2037,P95,7.415266141,7.133731313,7.696800969
Chitral,Kafir,future,2038,P95,2.506520591,2.409267548,2.603773635
Chitral,Kafir,future,2039,P95,3.845225876,3.715856384,3.974595368
Chitral,Kafir,future,2040,P95,2.092520229,2.021729369,2.163311089
Chitral,Kafir,future,2041,P95,3.101932987,3.058202611,3.145663363
Chitral,Kafir,future,2042,P95,4.185020532,4.096393347,4.273647717
Chitral,Kafir,future,2043,P95,3.981310322,3.89038348,4.072237163
Chitral,Kafir,future,2044,P95,3.316793094,3.207060297,3.426525891
Chitral,Kafir,future,2045,P95,3.297581544,3.247406411,3.347756676
Chitral,Kafir,future,2046,P95,3.790537781,3.68225444,3.898821122
Chitral,Kafir,future,2047,P95,2.527527776,2.438149259,2.616906294
Chitral,Kafir,future,2048,P95,2.780533681,2.699347081,2.86172028
Chitral,Kafir,future,2049,P95,4.416132296,4.301616998,4.530647594
Chitral,Kafir,future,2050,P95,4.804370339,4.683881576,4.924859102
Chitral,Kafir,future,2051,P95,2.690590726,2.627588024,2.753593428
Chitral,Kafir,future,2052,P95,3.09966949,2.975642251,3.223696729
Chitral,Kafir,future,2053,P95,2.896591033,2.799389614,2.993792452
Chitral,Kafir,future,2054,P95,3.665898093,3.55628128,3.775514905
Chitral,Kafir,future,2055,P95,4.157486959,4.030374524,4.284599395
Chitral,Kafir,future,2056,P95,4.674289675,4.567521542,4.781057808
Chitral,Kafir,future,2057,P95,4.001508755,3.884563828,4.118453681
Chitral,Kafir,future,2058,P95,2.407383785,2.303521011,2.511246559
Chitral,Kafir,future,2059,P95,2.956960218,2.844400523,3.069519912
Chitral,Kafir,future,2060,P95,3.683755448,3.598666922,3.768843975
Chitral,Kafir,future,2061,P95,4.305950333,4.142530037,4.46937063
Chitral,Kafir,future,2062,P95,3.575335553,3.484813247,3.66585786
Chitral,Kafir,future,2063,P95,2.196067407,2.098858531,2.293276283
Chitral,Kafir,future,2064,P95,4.542172195,4.343768491,4.740575898
Chitral,Kafir,future,2065,P95,1.52561568,1.456603736,1.594627623
Chitral,Rabi,past,1985,CDD,27,,
Chitral,Rabi,past,1986,CDD,26,,
Chitral,Rabi,past,1987,CDD,32,,
Chitral,Rabi,past,1988,CDD,28,,
Chitral,Rabi,past,1989,CDD,23,,
Chitral,Rabi,past,1990,CDD,42,,
Chitral,Rabi,past,1991,CDD,34,,
Chitral,Rabi,past,1992,CDD,30,,
Chitral,Rabi,past,1993,CDD,24,,
Chitral,Rabi,past,1994,CDD,27,,
Chitral,Rabi,past,1995,CDD,33,,
Chitral,Rabi,past,1996,CDD,52,,
Chitral,Rabi,past,1997,CDD,30,,
Chitral,Rabi,past,1998,CDD,41,,
Chitral,Rabi,past,1999,CDD,27,,
Chitral,Rabi,past,2000,CDD,23,,
Chitral,Rabi,past,2001,CDD,28,,
Chitral,Rabi,past,2002,CDD,22,,
Chitral,Rabi,past,2003,CDD,22,,
Chitral,Rabi,past,2004,CDD,19,,
Chitral,Rabi,past,2005,CDD,26,,
Chitral,Rabi,past,2006,CDD,17,,
Chitral,Rabi,past,2007,CDD,27,,
Chitral,Rabi,past,2008,CDD,18,,
Chitral,Rabi,past,2009,CDD,19,,
Chitral,Rabi,past,2010,CDD,46,,
Chitral,Rabi,past,2011,CDD,22,,
Chitral,Rabi,past,2012,CDD,16,,
Chitral,Rabi,past,2013,CDD,19,,
Chitral,Rabi,past,2014,CDD,23,,
Chitral,Rabi,future,2021,CDD,29,28,29
Chitral,Rabi,future,2022,CDD,31,31,32
Chitral,Rabi,future,2023,CDD,30,29,30
Chitral,Rabi,future,2024,CDD,42,41,42
Chitral,Rabi,future,2025,CDD,40,39,40
Chitral,Rabi,future,2026,CDD,52,51,53
Chitral,Rabi,future,2027,CDD,43,42,44
Chitral,Rabi,future,2028,CDD,34,34,35
Chitral,Rabi,future,2029,CDD,29,29,30
Chitral,Rabi,future,2030,CDD,47,46,47
Chitral,Rabi,future,2031,CDD,36,35,36
Chitral,Rabi,future,2032,CDD,48,47,49
Chitral,Rabi,future,2033,CDD,29,29,29
Chitral,Rabi,future,2034,CDD,27,26,27
