district,season,time,year,vars,value,CI_lower,CI_upper
Chitral,Kafir,past,1985,CDD,132,,
Chitral,Kafir,past,1986,CDD,128,,
Chitral,Kafir,past,1987,CDD,121,,
Chitral,Kafir,past,1988,CDD,172,,
Chitral,Kafir,past,1989,CDD,137,,
Chitral,Kafir,past,1990,CDD,128,,
Chitral,Kafir,past,1991,CDD,191,,
Chitral,Kafir,past,1992,CDD,171,,
Chitral,Kafir,past,1993,CDD,135,,
Chitral,Kafir,past,1994,CDD,182,,
Chitral,Kafir,past,1995,CDD,146,,
Chitral,Kafir,past,1996,CDD,154,,
Chitral,Kafir,past,1997,CDD,178,,
Chitral,Kafir,past,1998,CDD,154,,
Chitral,Kafir,past,1999,CDD,145,,
Chitral,Kafir,past,2000,CDD,119,,
Chitral,Kafir,past,2001,CDD,119,,
Chitral,Kafir,past,2002,CDD,127,,
Chitral,Kafir,past,2003,CDD,127,,
Chitral,Kafir,past,2004,CDD,110,,
Chitral,Kafir,past,2005,CDD,121,,
Chitral,Kafir,past,2006,CDD,133,,
Chitral,Kafir,past,2007,CDD,147,,
Chitral,Kafir,past,2008,CDD,106,,
Chitral,Kafir,past,2009,CDD,96,,
Chitral,Kafir,past,2010,CDD,94,,
Chitral,Kafir,past,2011,CDD,108,,
Chitral,Kafir,past,2012,CDD,116,,
Chitral,Kafir,past,2013,CDD,67,,
Chitral,Kafir,past,2014,CDD,127,,
Chitral,Kafir,past,2015,CDD,47,,
Chitral,Kafir,future,2021,CDD,64,63,64
Chitral,Kafir,future,2022,CDD,90,88,92
Chitral,Kafir,future,2023,CDD,81,80,83
Chitral,Kafir,future,2024,CDD,62,61,63
Chitral,Kafir,future,2025,CDD,58,56,59
Chitral,Kafir,future,2026,CDD,71,70,73
Chitral,Kafir,future,2027,CDD,52,51,53
Chitral,Kafir,future,2028,CDD,93,91,96
Chitral,Kafir,future,2029,CDD,65,65,66
Chitral,Kafir,future,2030,CDD,100,98,102
Chitral,Kafir,future,2031,CDD,90,89,91
Chitral,Kafir,future,2032,CDD,66,65,68
Chitral,Kafir,future,2033,CDD,79,77,81
Chitral,Kafir,future,2034,CDD,64,63,65
Chitral,Kafir,future,2035,CDD,62,61,63
Chitral,Kafir,future,2036,CDD,60,59,61
Chitral,Kafir,future,2037,CDD,52,52,53
Chitral,Kafir,future,2038,CDD,77,76,78
Chitral,Kafir,future,2039,CDD,77,75,79
Chitral,Kafir,future,2040,CDD,84,83,86
Chitral,Kafir,future,2041,CDD,63,63,64
Chitral,Kafir,future,2042,CDD,82,81,83
Chitral,Kafir,future,2043,CDD,64,63,65
Chitral,Kafir,future,2044,CDD,65,64,66
Chitral,Kafir,future,2045,CDD,65,64,65
Chitral,Kafir,future,2046,CDD,91,89,93
Chitral,Kafir,future,2047,CDD,74,72,75
Chitral,Kafir,future,2048,CDD,62,61,63
Chitral,Kafir,future,2049,CDD,52,51,53
Chitral,Kafir,future,2050,CDD,60,60,61
Chitral,Kafir,future,2051,CDD,59,59,60
Chitral,Kafir,future,2052,CDD,80,78,82
Chitral,Kafir,future,2053,CDD,62,61,64
Chitral,Kafir,future,2054,CDD,61,60,62
Chitral,Kafir,future,2055,CDD,72,70,73
Chitral,Kafir,future,2056,CDD,64,63,64
Chitral,Kafir,future,2057,CDD,70,70,70
Chitral,Kafir,future,2058,CDD,73,73,74
Chitral,Kafir,future,2059,CDD,60,59,62
Chitral,Kafir,future,2060,CDD,84,82,86
Chitral,Kafir,future,2061,CDD,72,70,74
Chitral,Kafir,future,2062,CDD,77,76,79
Chitral,Kafir,future,2063,CDD,86,85,86
Chitral,Kafir,future,2064,CDD,60,58,61
Chitral,Kafir,future,2065,CDD,118,116,120
Chitral,Kafir,past,1985,IRR,1140.698327,,
Chitral,Kafir,past,1986,IRR,1060.772647,,
Chitral,Kafir,past,1987,IRR,1144.220461,,
Chitral,Kafir,past,1988,IRR,1371.909347,,
Chitral,Kafir,past,1989,IRR,1126.231507,,
Chitral,Kafir,past,1990,IRR,1250.235803,,
Chitral,Kafir,past,1991,IRR,1163.514177,,
Chitral,Kafir,past,1992,IRR,1132.964536,,
Chitral,Kafir,past,1993,IRR,1216.478444,,
Chitral,Kafir,past,1994,IRR,1247.002281,,
Chitral,Kafir,past,1995,IRR,1240.603601,,
Chitral,Kafir,past,1996,IRR,1170.892307,,
Chitral,Kafir,past,1997,IRR,1232.48246,,
Chitral,Kafir,past,1998,IRR,1250.999741,,
Chitral,Kafir,past,1999,IRR,1261.869169,,
Chitral,Kafir,past,2000,IRR,1267.039899,,
Chitral,Kafir,past,2001,IRR,1322.274057,,
Chitral,Kafir,past,2002,IRR,1292.72144,,
Chitral,Kafir,past,2003,IRR,1234.713953,,
