providence,district,hazard,severity,frequency
KP,Chitral,Drought - Low rainfall,3,3
KP,Chitral,Riverine flooding,#N/A,#N/A
KP,Chitral,"Pest outbreak (Locust, Army worm, Hopper burn)",2,2
KP,Chitral,Heat stress,2,4
KP,Chitral,Disease outbreak (Plant & Livestock),2,3
KP,Chitral,Heavy rain/Flash flooding,1,1
KP,Chitral,Thunders (Lightening & Fire),2,3
KP,Chitral,Drought  - Low irrigation water supply,2,3
KP,D.I. Khan,Drought - Low rainfall,3,4
KP,D.I. Khan,Riverine flooding,1,2
KP,D.I. Khan,"Pest outbreak (Locust, Army worm, Hopper burn)",2,3
KP,D.I. Khan,Heat stress,3,3
KP,D.I. Khan,Disease outbreak (Plant & Livestock),2,3
KP,D.I. Khan,Heavy rain/Flash flooding,2,2
KP,D.I. Khan,Thunders (Lightening & Fire),#N/A,1
KP,D.I. Khan,Drought  - Low irrigation water supply,2,4
KP,N. Waziristan,Drought - Low rainfall,2,3
KP,N. Waziristan,Riverine flooding,2,3
KP,N. Waziristan,"Pest outbreak (Locust, Army worm, Hopper burn)",3,4
KP,N. Waziristan,Heat stress,1,1
KP,N. Waziristan,Disease outbreak (Plant & Livestock),3,4
KP,N. Waziristan,Heavy rain/Flash flooding,2,3
KP,N. Waziristan,Thunders (Lightening & Fire),1,2
KP,N. Waziristan,Drought  - Low irrigation water supply,2,2
KP,S. Waziristan,Drought - Low rainfall,2,4
KP,S. Waziristan,Riverine flooding,1,2
KP,S. Waziristan,"Pest outbreak (Locust, Army worm, Hopper burn)",3,4
KP,S. Waziristan,Heat stress,2,2
KP,S. Waziristan,Disease outbreak (Plant & Livestock),2,4
KP,S. Waziristan,Heavy rain/Flash flooding,1,2
KP,S. Waziristan,Thunders (Lightening & Fire),1,2
KP,S. Waziristan,Drought  - Low irrigation water supply,3,4
KP,Kurram,Drought - Low rainfall,1,3
KP,Kurram,Riverine flooding,2,3
KP,Kurram,"Pest outbreak (Locust, Army worm, Hopper burn)",3,4
KP,Kurram,Heat stress,1,1
KP,Kurram,Disease outbreak (Plant & Livestock),2,4
