Province,District,Village,Sector,Crop_livestock,Value,Source & Year
KP,Chitral,,Production,Apricot,265,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Production,Wheat,17618,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Production,Maize,13903,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Production,Rice,4566,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Production,Barley,2535,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Production,Bajra,70,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Production,Walnut,1140,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Production,Apple,1659,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Production,Pear,473,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Production,Onion,4576,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Crops,Wheat,51935,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Crops,Sugarcane,26690,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Crops,Rice,10279,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Crops,Gram,6567,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Crops,Maize,2369,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Crops,Jowar,1445,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Crops,Cotton,158,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Crops,Rape seed mustard,1644,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Crops,Bajra,657,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Crops,Barley,780,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Livestock,Poultry,1346518,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,D.I. Khan,,Livestock,Goats,1320174,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,D.I. Khan,,Livestock,Cattle,867710,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,D.I. Khan,,Livestock,Sheep,531742,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,D.I. Khan,,Livestock,Buffaloes,334540,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,D.I. Khan,,Livestock,Assess,47752,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,D.I. Khan,,Livestock,Camel,15016,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,D.I. Khan,,Production,Wheat,94042,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Production,Sugarcane,1601400,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Production,Rice,27963,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Production,Gram,4906,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Production,Maize,5969,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Production,Jowar,1007,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Production,Cotton,482,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Production,Rape seed mustard,759,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Production,Bajra,345,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,D.I. Khan,,Production,Barley,652,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Kurram,,Crops,Wheat,10624,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Kurram,,Crops,Rice,5800,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Kurram,,Crops,Maize,2300,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Kurram,,Crops,Barley,100,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Kurram,,Livestock,Poultry,1039351,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Kurram,,Livestock,Goats,536552,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Kurram,,Livestock,Cattle,379729,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Kurram,,Livestock,Sheep,274701,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Kurram,,Livestock,Assess,18526,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Kurram,,Livestock,Buffaloes,7423,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Kurram,,Livestock,Mules,2311,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Kurram,,Livestock,Horse,963,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Kurram,,Livestock,Camel,367,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Kurram,,Production,Wheat,16535,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Kurram,,Production,Rice,8500,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Kurram,,Production,Maize,2848,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Kurram,,Production,Barley,200,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,N. Waziristan,,Crops,Wheat,5830,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,N. Waziristan,,Crops,Maize,4357,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,N. Waziristan,,Crops,Gram,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,N. Waziristan,,Crops,Rice,100,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,N. Waziristan,,Crops,Sugarcane,45,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,N. Waziristan,,Crops,Barley,100,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,N. Waziristan,,Livestock,Poultry,505521,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,N. Waziristan,,Livestock,Goats,445071,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,N. Waziristan,,Livestock,Sheeps,298308,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,N. Waziristan,,Livestock,Cattle,353986,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,N. Waziristan,,Livestock,Buffaloes,30393,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,N. Waziristan,,Livestock,Assess,16826,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,N. Waziristan,,Livestock,Camel,2746,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,N. Waziristan,,Livestock,Horse,1080,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,N. Waziristan,,Livestock,Mules,436,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,N. Waziristan,,Production,Wheat,7150,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,N. Waziristan,,Production,Maize,5190,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,N. Waziristan,,Production,Gram,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,N. Waziristan,,Production,Rice,100,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,N. Waziristan,,Production,Sugarcane,1890,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,N. Waziristan,,Production,Barley,100,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Orakzai,,Crops,Wheat,4009,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Orakzai,,Crops,Maize,4320,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Orakzai,,Crops,Rice,200,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Orakzai,,Crops,Rape seed mustard,225,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Orakzai,,Crops,Jowar,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Orakzai,,Crops,Sugarcane,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Orakzai,,Crops,Barley,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Orakzai,,Livestock,Poultry,350735,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Orakzai,,Livestock,Goats,181974,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Orakzai,,Livestock,Cattle,108200,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Orakzai,,Livestock,Sheeps,61564,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Orakzai,,Livestock,Assess,13390,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Orakzai,,Livestock,Buffaloes,21077,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Orakzai,,Livestock,Mules,2774,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Orakzai,,Livestock,Camel,250,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Orakzai,,Livestock,Horses,190,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Orakzai,,Production,Wheat,5430,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Orakzai,,Production,Maize,5520,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Orakzai,,Production,Rice,300,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Orakzai,,Production,Rape seed mustard,83,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Orakzai,,Production,Jowar,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Orakzai,,Production,Sugarcane,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,Orakzai,,Production,Barley,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Crops,Wheat,7236,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Crops,Apple,2240,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Crops,Maize,2825,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Crops,Plum,220,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Crops,Peach,547,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Crops,Apricot,340,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Crops,Pomegranate,90,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Crops,Pear,75,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Crops,Grape,50,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Crops,Groundnut,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Crops,Barley,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Crops,Rice,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Crops,Gram,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Crops,Bajra,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Livestock,Poultry,496924,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,S. Waziristan,,Livestock,Goats,672948,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,S. Waziristan,,Livestock,Sheeps,400585,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,S. Waziristan,,Livestock,Cattle,226389,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,S. Waziristan,,Livestock,Assess,23022,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,S. Waziristan,,Livestock,Buffaloes,23834,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,S. Waziristan,,Livestock,Camel,9356,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,S. Waziristan,,Livestock,Mules,1416,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,S. Waziristan,,Livestock,Horse,314,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,S. Waziristan,,Production,Pine nuts,4000,https://kpbos.gov.pk/ (2018-19)
KP,S. Waziristan,,Production,Wheat,7487,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Production,Apple,46203,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Production,Maize,1297,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Production,Plum,427,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Production,Peach,1206,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Production,Apricot,752,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Production,Pomegranate,990,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Production,Pear,750,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Production,Grape,308,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Production,Groundnut,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Production,Barley,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Production,Rice,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Production,Gram,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
KP,S. Waziristan,,Production,Bajra,0,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
Punjab,Jhang,,Crops,Wheat,276400,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Crops,Gram,72000,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Crops,Rice,69600,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Crops,Sugarcane,40870,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Crops,Cotton,17000,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Crops,Bajra,15900,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Crops,Maize,11100,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Crops,Jowar,4200,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Crops,Rape seed mustard,2500,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Crops,Barley,400,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Livestock,Poultry,1425237,Livestock census Punjab 2006
Punjab,Jhang,,Livestock,Bufalloes,556000,PDS 2017 http://bos.gop.pk/system/files/PDS%202017_0.pdf
Punjab,Jhang,,Livestock,Cattle,529000,PDS 2017 http://bos.gop.pk/system/files/PDS%202017_0.pdf
Punjab,Jhang,,Livestock,Goats,494000,PDS 2017 http://bos.gop.pk/system/files/PDS%202017_0.pdf
Punjab,Jhang,,Livestock,Sheeps,165000,PDS 2017 http://bos.gop.pk/system/files/PDS%202017_0.pdf
Punjab,Jhang,,Livestock,Assess,172397,Livestock census Punjab 2006
Punjab,Jhang,,Livestock,Horse,15123,Livestock census Punjab 2006
Punjab,Jhang,,Livestock,Camel,8289,Livestock census Punjab 2006
Punjab,Jhang,,Livestock,Mules,1310,Livestock census Punjab 2006
Punjab,Jhang,,Production,Wheat,866800,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Production,Gram,20400,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Production,Rice,158310,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Production,Sugarcane,2472980,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Production,Cotton,39220,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Production,Bajra,13600,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Production,Maize,57300,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Production,Jowar,3800,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Production,Rape seed mustard,4700,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Jhang,,Production,Barley,400,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Crops,Wheat,295800,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Crops,Cotton,142040,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Crops,Sugarcane,43710,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Crops,Rice,34410,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Crops,Mango,19040,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
Punjab,Muzaffargarh,,Crops,Bajra,20900,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Crops,Jowar,10300,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Crops,Rape seed mustard,6500,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Crops,Barley,3600,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Crops,Maize,4300,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Crops,Gram,4600,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Livestock,Poultry,1602519,Livestock census Punjab 2006
Punjab,Muzaffargarh,,Livestock,Goats,1298000,PDS 2017 http://bos.gop.pk/system/files/PDS%202017_0.pdf
Punjab,Muzaffargarh,,Livestock,Cattle,1100000,PDS 2017 http://bos.gop.pk/system/files/PDS%202017_0.pdf
Punjab,Muzaffargarh,,Livestock,Buffaloes,690000,PDS 2017 http://bos.gop.pk/system/files/PDS%202017_0.pdf
Punjab,Muzaffargarh,,Livestock,Sheeps,445000,PDS 2017 http://bos.gop.pk/system/files/PDS%202017_0.pdf
Punjab,Muzaffargarh,,Livestock,Assess,37567,Livestock census Punjab 2006
Punjab,Muzaffargarh,,Livestock,Camel,8217,Livestock census Punjab 2006
Punjab,Muzaffargarh,,Livestock,Horse,2970,Livestock census Punjab 2006
Punjab,Muzaffargarh,,Livestock,Mules,1182,Livestock census Punjab 2006
Punjab,Muzaffargarh,,Production,Wheat,908900,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Production,Cotton,430630,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Production,Sugarcane,3136160,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Production,Rice,70420,PDS 2018-19 http://www.bos.gop.pk/publicationreports#Major/Minor%20Crops
Punjab,Muzaffargarh,,Production,Mango,232703.6,Crops Area and Production - 2013-14 (By Districts) http://www.mnfsr.gov.pk/pubDetails.aspx
