Province,District,Village,Sector,Crop_livestock,Value,Source & Year
KP,Chitral,,Crops,Potato,1387,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Crops,Apricot,51,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Crops,Wheat,8141,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Crops,Maize,5518,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Crops,Rice,1831,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Crops,Barley,1725,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Crops,Bajra,67,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Crops,Walnut,95,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Crops,Apple,250,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Crops,Pear,80,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Crops,Onion,372,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
KP,Chitral,,Livestock,Poultry,423749,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Chitral,,Livestock,Goats,586692,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Chitral,,Livestock,Sheep,231363,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Chitral,,Livestock,Cattle,294050,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Chitral,,Livestock,Assess,3256,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Chitral,,Livestock,Buffaloes,481,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Chitral,,Livestock,Horse,295,Khyber Pakhtunkhwa Livestock and Dairy Development Department (Livestock Projected population 2019)
KP,Chitral,,Livestock,Yak,4090,Livestock census 2006
KP,Chitral,,Production,Potato,42303,KP Crop statistics 2018-19 http://kp.gov.pk/uploads/2020/08/CROP_STATISTICS_2018-19.pdf
